 relname  | relkind | reltuples | relpages 
 t_1_1559 | r       |    340485 |     1507
 t_1_1560 | r       |     50078 |      222
 t_1_1561 | r       |    504832 |     2234
 t_1_1562 | r       |    193323 |      856
 t_1_1563 | r       |    358483 |     1587
 t_1_1564 | r       |    545430 |     2414
 t_1_1565 | r       |    818968 |     3624
 t_1_1566 | r       |    144795 |      641
 t_1_1567 | r       |     19509 |       87
 t_1_1568 | r       |     78399 |      347
 t_1_1569 | r       |    115494 |      512
 t_1_1570 | r       |    604463 |     2675
 t_1_1572 | r       |    972354 |     4303
 t_1_1573 | r       |     56154 |      249
 t_1_1574 | r       |     33821 |      150
 t_1_1576 | r       |    673099 |     2979
 t_1_1577 | r       |    677408 |     2998
 t_1_1578 | r       |     54389 |      241
 t_1_1579 | r       |    275185 |     1218
 t_1_1580 | r       |    505999 |     2239
 t_1_1581 | r       |    530598 |     2348
 t_1_1582 | r       |    117973 |      523
 t_1_1583 | r       |    312679 |     1384
 t_1_1584 | r       |    585262 |     2590
 t_1_1585 | r       |    586491 |     2596
 t_1_1586 | r       |    511097 |     2262
 t_1_1587 | r       |    982751 |     4349
 t_1_1588 | r       |    403967 |     1788
 t_1_1589 | r       |    833754 |     3690
 t_1_1590 | r       |    313422 |     1387
 t_1_1591 | r       |    530243 |     2347
 t_1_1592 | r       |    416906 |     1845
 t_1_1594 | r       |    882703 |     3906
 t_1_1595 | r       |    904101 |     4001
 t_1_1596 | r       |    748009 |     3310
 t_1_1597 | r       |     24587 |      109
 t_1_1    | r       |      5743 |       26
 t_1_21   | r       |      4613 |       21
 t_1_26   | r       |      2825 |       13
 t_1_30   | r       |      8861 |       40
 t_1_37   | r       |       814 |        4
 t_1_56   | r       |      5727 |       26
 t_1_63   | r       |      7315 |       33
 t_1_64   | r       |      9241 |       41
 t_1_68   | r       |      8333 |       37
 t_1_86   | r       |      1614 |        8
 t_1_90   | r       |      6181 |       28
 t_1_108  | r       |      5124 |       23
 t_1_113  | r       |      5282 |       24
 t_1_131  | r       |      4631 |       21
 t_1_135  | r       |      9415 |       42
 t_1_153  | r       |      6350 |       29
 t_1_158  | r       |      2021 |        9
 t_1_176  | r       |      4104 |       19
 t_1_180  | r       |      9174 |       41
 t_1_198  | r       |      6185 |       28
 t_1_203  | r       |      9012 |       40
 t_1_221  | r       |      5563 |       25
 t_1_225  | r       |      1856 |        9
 t_1_243  | r       |      8072 |       36
 t_1_248  | r       |      5489 |       25
 t_1_266  | r       |      7950 |       36
 t_1_270  | r       |      5287 |       24
 t_1_288  | r       |      8601 |       39
 t_1_293  | r       |      4106 |       19
 t_1_311  | r       |      1483 |        7
 t_1_315  | r       |      1853 |        9
 t_1_333  | r       |      1491 |        7
 t_1_338  | r       |      1918 |        9
 t_1_356  | r       |      5575 |       25
 t_1_360  | r       |      9221 |       41
 t_1_378  | r       |      1076 |        5
 t_1_383  | r       |      5257 |       24
 t_1_401  | r       |      6974 |       31
 t_1_405  | r       |      5922 |       27
 t_1_1599 | r       |    262367 |     1161
 t_1_423  | r       |      2407 |       11
 t_1_428  | r       |      2587 |       12
 t_1_446  | r       |      5395 |       24
 t_1_450  | r       |      4285 |       19
 t_1_468  | r       |      3361 |       15
 t_1_473  | r       |      4139 |       19
 t_1_491  | r       |      6202 |       28
 t_1_495  | r       |       950 |        5
 t_1_513  | r       |      6437 |       29
 t_1_518  | r       |      2410 |       11
 t_1_536  | r       |      2801 |       13
 t_1_540  | r       |      3315 |       15
 t_1_558  | r       |      5126 |       23
 t_1_563  | r       |      3023 |       14
 t_1_581  | r       |      3787 |       17
 t_1_585  | r       |      7848 |       35
 t_1_603  | r       |      7020 |       32
 t_1_608  | r       |      2790 |       13
 t_1_626  | r       |      3370 |       15
 t_1_630  | r       |      9474 |       42
 t_1_648  | r       |       876 |        4
 t_1_653  | r       |       977 |        5
 t_1_671  | r       |      7699 |       35
 t_1_675  | r       |      7025 |       32
 t_1_693  | r       |      8246 |       37
 t_1_698  | r       |      8088 |       36
 t_1_716  | r       |      9876 |       44
 t_1_720  | r       |      6205 |       28
 t_1_738  | r       |       480 |        3
 t_1_743  | r       |      9372 |       42
 t_1_761  | r       |      3636 |       17
 t_1_765  | r       |      8772 |       39
 t_1_783  | r       |      2977 |       14
 t_1_788  | r       |      3515 |       16
 t_1_806  | r       |    281234 |     1245
 t_1_810  | r       |    147352 |      652
 t_1_828  | r       |    738570 |     3269
 t_1_833  | r       |    723936 |     3204
 t_1_851  | r       |    509611 |     2255
 t_1_855  | r       |    185214 |      820
 t_1_873  | r       |    716803 |     3172
 t_1_878  | r       |    599264 |     2652
 t_1_896  | r       |    953050 |     4218
 t_1_900  | r       |    929849 |     4115
 t_1_918  | r       |    626638 |     2773
 t_1_923  | r       |    485545 |     2149
 t_1_941  | r       |     28010 |      124
 t_1_945  | r       |    442677 |     1959
 t_1_963  | r       |    916152 |     4054
 t_1_968  | r       |    244419 |     1082
 t_1_986  | r       |    591916 |     2620
 t_1_990  | r       |    570753 |     2526
 t_1_1008 | r       |    210930 |      934
 t_1_1013 | r       |    182304 |      807
 t_1_1031 | r       |    715352 |     3166
 t_1_1035 | r       |    310205 |     1373
 t_1_1053 | r       |     44082 |      196
 t_1_1058 | r       |     81541 |      361
 t_1_1076 | r       |    135882 |      602
 t_1_1080 | r       |    437920 |     1938
 t_1_1098 | r       |    761636 |     3371
 t_1_1103 | r       |     76964 |      341
 t_1_1121 | r       |    748463 |     3312
 t_1_1125 | r       |    732827 |     3243
 t_1_1143 | r       |    926854 |     4102
 t_1_1148 | r       |    269069 |     1191
 t_1_1166 | r       |    968681 |     4287
 t_1_1170 | r       |    424683 |     1880
 t_1_1188 | r       |     29467 |      131
 t_1_1193 | r       |    974842 |     4314
 t_1_1211 | r       |    554474 |     2454
 t_1_1215 | r       |    669793 |     2964
 t_1_1233 | r       |     14221 |       63
 t_1_1238 | r       |    129941 |      575
 t_1_1256 | r       |    655574 |     2901
 t_1_1260 | r       |    929244 |     4112
 t_1_1278 | r       |     50168 |      222
 t_1_1283 | r       |    674030 |     2983
 t_1_1301 | r       |    415977 |     1841
 t_1_1305 | r       |    509962 |     2257
 t_1_1323 | r       |    470980 |     2084
 t_1_1328 | r       |    327142 |     1448
 t_1_1346 | r       |    300426 |     1330
 t_1_1350 | r       |    198017 |      877
 t_1_1368 | r       |    815137 |     3607
 t_1_1373 | r       |    591361 |     2617
 t_1_1391 | r       |    315757 |     1398
 t_1_1395 | r       |    185090 |      819
 t_1_1413 | r       |    382347 |     1692
 t_1_1418 | r       |    135260 |      599
 t_1_1436 | r       |    438344 |     1940
 t_1_1440 | r       |    779983 |     3452
 t_1_1458 | r       |    288299 |     1276
 t_1_1463 | r       |    277199 |     1227
 t_1_1481 | r       |    824421 |     3648
 t_1_1485 | r       |    498873 |     2208
 t_1_1503 | r       |    931119 |     4120
 t_1_1508 | r       |    835639 |     3698
 t_1_1526 | r       |    280220 |     1240
 t_1_1530 | r       |    911103 |     4032
 t_1_1548 | r       |    828114 |     3665
 t_1_1553 | r       |    172163 |      762
 t_1_1571 | r       |    795377 |     3520
 t_1_1575 | r       |    775745 |     3433
 t_1_1593 | r       |    591325 |     2617
 t_1_1598 | r       |    122607 |      543
 t_1      | r       |    980000 |   980000
(1600 rows)

